mineke_lemma_id	mineke_lemma	mineke_entry_number	mineke_image_filenames	mineke_max_page_number	meineke_source_text_version_id	meineke_source_variant	meineke_notes	meineke_text_hash	match_billerbeck_lemma_id	match_billerbeck_lemma	match_billerbeck_entry_number	match_billerbeck_id	match_similarity	match2_billerbeck_lemma_id	match2_billerbeck_lemma	match2_similarity	similarity_delta	normalized_mineke	normalized_match
135628	Αἰνεία		meineke_page_075.jpg	75	8794	ocr	OCR from image meineke_page_075.jpg (id=1247)	18e477289e36772d849cb6c28b2086284d28ea9160b055fd64f650472c1a477e	61181	Αἴνεια	132	Α132	1.000000	61183	Αἰνία	0.833333	0.166667	αινεια	αινεια
135630	Αἴνια		meineke_page_076.jpg	76	8796	ocr	OCR from image meineke_page_076.jpg (id=1248)	a5e2d68f559cecb1bf919cf0160195204e335f3380c488ffc5a8091c6223d272	61183	Αἰνία	134	Α134	1.000000	61181	Αἴνεια	0.833333	0.166667	αινια	αινια
135640	Αἰσύμη		meineke_page_079.jpg	79	8806	ocr	OCR from image meineke_page_079.jpg (id=1251)	29216b03364b572ed1da67b213832931b99196d1a5326f072de4726dd9990567	61192	Αἰσύμη	143	Α143	1.000000	12808	Οἰσύμη	0.833333	0.166667	αισυμη	αισυμη
135641	Αἰσών		meineke_page_079.jpg	79	8807	ocr	OCR from image meineke_page_079.jpg (id=1251)	42c4a409250a00c1288551cbe12aa69fd391b8fd8d8b87b85f444364da0e3af0	61193	Αἰσών	144	Α144	1.000000	102816	Αὔσων	0.800000	0.200000	αισων	αισων
135644	Αἰτωλία	2	meineke_page_080.jpg	80	19133	ocr	OCR from image meineke_page_151.jpg (id=1323)	b912332eab83f63410df8f7702db828b6e5a392c33cc2249ca95aab8612efe4c	61195	Αἰτωλία	146	Α146	1.000000	23669	Ἰταλία	0.714286	0.285714	αιτωλια	αιτωλια
135645	Ἀκαδήμεια	1	meineke_page_081.jpg	81	8811	ocr	OCR from image meineke_page_081.jpg (id=1253)	42863b6653f7ef1eff6e83c75a268be7bb3dc2b91a8e8939e164829f9f226e8f	61196	Ἀκαδήμεια	147	Α147	1.000000	2059	Καδμεία	0.777778	0.222222	ακαδημεια	ακαδημεια
135646	Ἀκακήσιον	2	meineke_page_081.jpg	81	8812	ocr	OCR from image meineke_page_081.jpg (id=1253)	17e0d1a890716dcb68c8c0e1eb51c3b508c0c92b023a19f376bb746ae98703ff	61197	Ἀκακήσιον	148	Α148	1.000000	8997	Μαραθήσιον	0.700000	0.300000	ακακησιον	ακακησιον
135648	Ἀκαμαντίον	4	meineke_page_081.jpg	81	8814	ocr	OCR from image meineke_page_081.jpg (id=1253)	8905f7714686e0292a2adc124274bac4fb8f37e703770eabd1bc7862788924e9	61199	Ἀκαμάντιον	150	Α150	1.000000	61213	Ἀκόντιον	0.700000	0.300000	ακαμαντιον	ακαμαντιον
135649	Ἀκανθός	5	meineke_page_081.jpg	81	8815	ocr	OCR from image meineke_page_081.jpg (id=1253)	80af4f1d6aa19d1b046cf04c1df5ad4d33b33d885300e77a8f12298fee4e14f0	61200	Ἄκανθος	151	Α151	1.000000	135363	Φάλανθος	0.750000	0.250000	ακανθοσ	ακανθοσ
135651	Ἄκανναί		meineke_page_082.jpg	82	8817	ocr	OCR from image meineke_page_082.jpg (id=1254)	c9ecd9603fd65ebaaba9fcaea7873f5eda3f17d57613e0e1b08b228e904f5fab	61201	Ἀκάνναι	152	Α152	1.000000	2346	Κάναι	0.714286	0.285714	ακανναι	ακανναι
135657	Ἀκεσαί	1	meineke_page_084.jpg	84	8823	ocr	OCR from image meineke_page_084.jpg (id=1256)	2cbb25965532503dbb0424812e77b0907be19f9216e3255c9fdeec65cc698e7a	61206	Ἀκεσαί	157	Α157	1.000000	61208	Ἀκέστη	0.666667	0.333333	ακεσαι	ακεσαι
135659	Ἀκέστη	3	meineke_page_084.jpg	84	8825	ocr	OCR from image meineke_page_084.jpg (id=1256)	d8b87b03a4db6e107d14b8f620b5563b346c508069fc32441790c082678cfc47	61208	Ἀκέστη	159	Α159	1.000000	12862	Ὀρέστη	0.666667	0.333333	ακεστη	ακεστη
135667	Ἀκράγαντες	3	meineke_page_087.jpg	87	8833	ocr	OCR from image meineke_page_087.jpg (id=1259)	9ea8bafd9114e623fca2d0cff89c360220540d53dfa3a4113118ecdb655feea1	80193	Ἀκράγαντες	167	Α167	1.000000	121797	Γαράμαντες	0.700000	0.300000	ακραγαντεσ	ακραγαντεσ
135673	Ἀκρόπολις	6	meineke_page_088.jpg	88	8839	ocr	OCR from image meineke_page_088.jpg (id=1260)	f8a212e538f309d26b8949b0026be5be05cb5360d972a5acb6813d4c0e678e8b	80199	Ἀκρόπολις	173	Α173	1.000000	2495	Καρόπολις	0.777778	0.222222	ακροπολισ	ακροπολισ
135674	Ἀκρώρεια		meineke_page_089.jpg	89	8840	ocr	OCR from image meineke_page_089.jpg (id=1261)	c4a435753f4499b8a1675ffbe9dc704b31ab753956ed9662f4aac7415ac0887a	80200	Ἀκρώρεια	174	Α174	1.000000	80201	Ἀκρώρειοι	0.777778	0.222222	ακρωρεια	ακρωρεια
135676	Ἀκτιον	3	meineke_page_090.jpg	90	8842	ocr	OCR from image meineke_page_090.jpg (id=1262)	aa4167b5865f3bd501b73ce07eff1a782ccd0d82b1446fbdb7b1370dc0152d27	80203	Ἄκτιον	177	Α177	1.000000	61213	Ἀκόντιον	0.750000	0.250000	ακτιον	ακτιον
135677	Ἀκυληία	4	meineke_page_090.jpg	90	8843	ocr	OCR from image meineke_page_090.jpg (id=1262)	dbbe79f2a7bb79580a660b12e0b8e08b65bdd32909f193dfa735f8c5cea1fdda	80204	Ἀκυληία	178	Α178	1.000000	80205	Ἀκυλῖνα	0.714286	0.285714	ακυληια	ακυληια
135683	Ἀλαβάνδα		meineke_page_091.jpg	91	8849	ocr	OCR from image meineke_page_091.jpg (id=1263)	f8eede4184f4c74865d721450dabbf644471133ee33f29f04e024fb0a7d97ef7	80210	Ἀλάβανδα	184	Α184	1.000000	7637	Λάβρανδα	0.750000	0.250000	αλαβανδα	αλαβανδα
135684	Ἀλαβαστρά		meineke_page_091.jpg	91	8850	ocr	OCR from image meineke_page_091.jpg (id=1263)	63818090e977cd37decbe6617a788e0a708a33657135290f3afad8cdeaf4b618	80211	Ἀλάβαστρα	185	Α185	1.000000	7634	Λάβαρα	0.666667	0.333333	αλαβαστρα	αλαβαστρα
135686	Ἀλαβούριον		meineke_page_092.jpg	92	8852	ocr	OCR from image meineke_page_092.jpg (id=1264)	28cb974c52492d4e37889c73e5daed0e01ab283d94c564fabae29b937dab2533	80212	Ἀλαβούριον	186	Α186	1.000000	85721	Ἀπάτουρον	0.700000	0.300000	αλαβουριον	αλαβουριον
135688	Ἀλαζών		meineke_page_092.jpg	92	8854	ocr	OCR from image meineke_page_092.jpg (id=1264)	7de36b8d75856ecc57861e6e2e6340b92b80261a78840b7af1d4b1f9b02c83f1	80214	Ἀλαζών	188	Α188	1.000000	80213	Ἀλαβών	0.833333	0.166667	αλαζων	αλαζων
135690	Ἁλαί	1	meineke_page_093.jpg	93	8856	ocr	OCR from image meineke_page_093.jpg (id=1265)	592cb354dca1fb59dfb5c6dcb067299ba42875a62d6eb58e9cdecc3331874c79	80216	Ἀλαί	190	Α190	1.000000	102809	Αὐλαί	0.800000	0.200000	αλαι	αλαι
135695	Ἄλβα		meineke_page_094.jpg	94	8861	ocr	OCR from image meineke_page_094.jpg (id=1266)	583233efe9a6e0dfdb626d4cf0caeb0cf2002758308e9e0bd187b0336011bee3	80221	Ἄλβα	195	Α195	1.000000	80225	Ἀλέα	0.750000	0.250000	αλβα	αλβα
135697	Ἀλβίων		meineke_page_094.jpg	94	8863	ocr	OCR from image meineke_page_094.jpg (id=1266)	56e1d3e8d2ed8b0a37c195187114f0dc5273eff0f65180625a645199d3444183	80223	Ἀλβίων	197	Α197	1.000000	80213	Ἀλαβών	0.666667	0.333333	αλβιων	αλβιων
135698	Ἀλγίδος		meineke_page_094.jpg	94	8864	ocr	OCR from image meineke_page_094.jpg (id=1266)	82128ed6c21c8f63fa94ce8144b4a40cb6267b75e1221fdcc5b9372964b40730	80224	Ἄλγιδος	198	Α198	1.000000	11064	Νάγιδος	0.714286	0.285714	αλγιδοσ	αλγιδοσ
135708	Ἀλιζῶνες	1	meineke_page_099.jpg	99	8874	ocr	OCR from image meineke_page_099.jpg (id=1271)	efb231c43f74031cbc39ef9c79f39feec01578249be0f677419d5abc81b40b9e	80231	Ἁλιζῶνες	205	Α205	1.000000	12817	Ὀλιζών	0.625000	0.375000	αλιζωνεσ	αλιζωνεσ
135711	Ἀλικύρνα	4	meineke_page_099.jpg	99	8877	ocr	OCR from image meineke_page_099.jpg (id=1271)	97ce7e351a7e28d7d4784c04db5154e32ae4f0ec4ad7cbf2373e1a9f3095aa38	80234	Ἁλίκυρνα	208	Α208	1.000000	80240	Ἁλίσαρνα	0.750000	0.250000	αλικυρνα	αλικυρνα
135715	Ἀλιμαλα		meineke_page_100.jpg	100	8881	ocr	OCR from image meineke_page_100.jpg (id=1272)	dfc04405e4ffbaac42466f18be008d836e9cf34ba83fb20fb9cc096e9de5762c	80238	Ἀλίμαλα	212	Α212	1.000000	80240	Ἁλίσαρνα	0.625000	0.375000	αλιμαλα	αλιμαλα
135719	Ἀλκομεναί		meineke_page_100.jpg	100	8885	ocr	OCR from image meineke_page_100.jpg (id=1272)	ad86f4d1b035fe3d17c35a711bab1586480cf054c240b74b11fd354a59e44424	80242	Ἀλκομεναί	216	Α216	1.000000	22196	Ἰδομεναί	0.666667	0.333333	αλκομεναι	αλκομεναι
135726	Ἀλμωπία		meineke_page_101.jpg	101	8892	ocr	OCR from image meineke_page_101.jpg (id=1273)	b1988a08b1f775b60443d386883523aa5cb15f1471d9a21ea37770b2c4d86dac	80248	Ἀλμωπία	223	Α223	1.000000	82933	Ἀμμωνία	0.714286	0.285714	αλμωπια	αλμωπια
135737	Ἀλύβας		meineke_page_104.jpg	104	8903	ocr	OCR from image meineke_page_104.jpg (id=1276)	ae46b676f5a33fe27d060336cd4d1dcdd31fc46ca66d4f3708d2421e39adae4a	82892	Ἀλύβας	232	Α232	1.000000	128485	Χάλυβες	0.714286	0.285714	αλυβασ	αλυβασ
135738	Ἀλύβη		meineke_page_104.jpg	104	8904	ocr	OCR from image meineke_page_104.jpg (id=1276)	be4ae9ad81d7b12382462317ce4f73c2853cc3e21bfa4ffb632f2644d26dde03	82893	Ἀλύβη	233	Α233	1.000000	2330	Καλύβη	0.833333	0.166667	αλυβη	αλυβη
